gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000108700,CCL8,protein_coding,9.97653526083563,6.0698409235669,27.8536802683704,0.000200338059617759,0.000875982522817466,Up
ENSG00000131203,IDO1,protein_coding,9.87915612503691,5.98664368352179,31.5355066480537,0.00011652318674272,0.000556367060764205,Up
ENSG00000138755,CXCL9,protein_coding,9.73254100630931,5.88725080809404,34.013547994418,8.30520886787172e-05,0.000416309522408475,Up
ENSG00000169245,CXCL10,protein_coding,9.66772272794093,8.09969163046019,85.1954743913885,3.15413434563532e-08,5.70379281794256e-07,Up
ENSG00000169248,CXCL11,protein_coding,9.13518207823637,6.93048624074359,61.0290976766099,1.19885114762045e-06,1.17306763663738e-05,Up
ENSG00000000938,FGR,protein_coding,8.78465353775299,4.23287012063108,16.2666754779927,0.00168442070920285,0.00541729722009725,Up
ENSG00000162654,GBP4,protein_coding,8.41058954178545,4.69923346781837,38.9303929803421,4.4702245497529e-05,0.000246271746511674,Up
ENSG00000134321,RSAD2,protein_coding,8.336452043237,7.25304854286798,172.081536652916,1.27084608419416e-10,7.67060321554368e-09,Up
ENSG00000168334,XIRP1,protein_coding,8.1391972403705,4.31673209126875,23.0036797283372,0.000445642105570481,0.00172596740977232,Up
ENSG00000134326,CMPK2,protein_coding,8.07463342381131,5.77728654052484,148.052069692886,4.29446153535164e-10,1.90530054329297e-08,Up
ENSG00000168062,BATF2,protein_coding,8.02921506634976,4.27122283998132,89.3495793579941,6.96209242725822e-07,7.4335166230053e-06,Up
ENSG00000108688,CCL7,protein_coding,7.91210646419166,3.9160285788651,30.5961992039799,0.000133178580009175,0.000616123443656438,Up
ENSG00000248126,,unprocessed_pseudogene,7.72164185550187,4.12313661571249,6.81469555443057,0.0197564581963293,0.0438807154528546,Up
ENSG00000163131,CTSS,protein_coding,7.1547799453229,6.20513939733929,26.569688700478,6.75619864119038e-05,0.000347691115951173,Up
ENSG00000119922,IFIT2,protein_coding,7.14317370780043,8.41764361911439,172.055978604797,1.27238594721658e-10,7.67060321554368e-09,Up
ENSG00000119917,IFIT3,protein_coding,6.92525107631196,8.60304312939801,293.052051176601,1.51458989431744e-12,2.70467890377736e-10,Up
ENSG00000225492,GBP1P1,transcribed_unprocessed_pseudogene,6.85078182338365,3.31678236379474,37.0888647052745,5.26856938058716e-05,0.000282957827710782,Up
ENSG00000177294,FBXO39,protein_coding,6.79799555570293,3.31631129744859,50.3245954395975,1.21449506659984e-05,8.05491017708695e-05,Up
ENSG00000216490,IFI30,protein_coding,6.61000338283125,6.14212196814573,26.0931177425463,7.46367424336591e-05,0.000379452136087991,Up
ENSG00000111335,OAS2,protein_coding,6.53080226632677,5.46534679728707,90.4865388259653,2.00584541960928e-08,3.95794304758815e-07,Up
ENSG00000196218,RYR1,protein_coding,6.10691863227679,4.00738677753835,145.83412902085,3.73499549502205e-09,1.0503571976749e-07,Up
ENSG00000183486,MX2,protein_coding,5.97399353477495,4.93546508214603,34.8524582291488,1.40228142447748e-05,9.08878507866496e-05,Up
ENSG00000089127,OAS1,protein_coding,5.90773396301732,5.7352956710037,148.065497325204,4.29133267395395e-10,1.90530054329297e-08,Up
ENSG00000185745,IFIT1,protein_coding,5.90073977948818,6.94539052330391,296.291308624797,1.37997256744754e-12,2.6640929862913e-10,Up
ENSG00000233975,LINC02574,lncRNA,5.84911991934208,3.76247542463793,80.3866500039338,1.97543933272263e-07,2.59863041503458e-06,Up
ENSG00000138646,HERC5,protein_coding,5.6264199405839,4.91496086014467,177.79627908769,9.73311288129251e-11,6.55883257651626e-09,Up
ENSG00000136514,RTP4,protein_coding,5.60198318377269,3.51176557381062,85.711427188169,2.77819150612076e-08,5.14109376378772e-07,Up
ENSG00000154451,GBP5,protein_coding,5.51702320164119,5.465002651408,81.5556078819113,4.36652980712702e-08,7.47964566242406e-07,Up
ENSG00000186007,LEMD1,protein_coding,5.44249757861724,4.25196996102199,155.784519030547,2.52801667501171e-10,1.27166359926821e-08,Up
ENSG00000157601,MX1,protein_coding,5.41437382226925,8.49617723291912,367.763685063806,2.19086085058717e-13,7.82465952787207e-11,Up
ENSG00000130303,BST2,protein_coding,5.25324303650011,6.90149101807728,124.683668085016,1.68647180246552e-09,5.45089053620417e-08,Up
ENSG00000185885,IFITM1,protein_coding,5.15528514050445,9.22045289935044,126.221855916447,1.5309328352828e-09,5.01626295524083e-08,Up
ENSG00000132530,XAF1,protein_coding,5.0253047729112,4.25307473993047,87.2716720307504,2.5953633391701e-08,4.90441278616192e-07,Up
ENSG00000133106,EPSTI1,protein_coding,5.01891070196555,4.9531068654869,87.4867643341151,2.5853876650996e-08,4.89852097925899e-07,Up
ENSG00000100292,HMOX1,protein_coding,4.9351194558465,8.20175569873458,94.9668587027303,1.39085482721118e-08,2.95701765301075e-07,Up
ENSG00000129226,CD68,protein_coding,4.88149704033852,5.66587567046007,15.6870480824005,0.000924440274946879,0.00323690043330665,Up
ENSG00000130775,THEMIS2,protein_coding,4.80772728889306,4.02866483126494,112.94828539885,3.31659192580893e-09,9.47616645042127e-08,Up
ENSG00000184557,SOCS3,protein_coding,4.6981422011586,7.21079426910175,88.3787761000168,2.3956318302519e-08,4.57540057847309e-07,Up
ENSG00000259052,,lncRNA,4.41840636472661,3.93451726650887,43.1300602038831,3.69323596207916e-06,2.9741583401501e-05,Up
ENSG00000162772,ATF3,protein_coding,4.38960715545691,7.78740935602668,614.239683453964,2.08237325561051e-15,2.97487843296518e-12,Up
ENSG00000196611,MMP1,protein_coding,4.35330249167614,3.76290109099422,42.0554784404671,4.26797529937813e-06,3.34832392450504e-05,Up
ENSG00000025708,TYMP,protein_coding,4.30679038927225,3.69142266049145,58.4850240583349,4.49841829264031e-07,5.10034950227456e-06,Up
ENSG00000111331,OAS3,protein_coding,4.20797379863818,5.99136177377245,164.521354958703,1.8316674043047e-10,9.98748112133470e-09,Up
ENSG00000138642,HERC6,protein_coding,4.19864972183001,5.81966109031741,150.854240811313,3.69321553023468e-10,1.70055282794909e-08,Up
ENSG00000272275,,lncRNA,4.143726063897,3.80892669255513,111.848173799431,3.58140141940958e-09,1.01515675947788e-07,Up
ENSG00000141574,SECTM1,protein_coding,4.1362356667394,4.88593224518285,47.879357907418,1.863899353239e-06,1.67612980121769e-05,Up
ENSG00000121858,TNFSF10,protein_coding,4.09703660350495,5.85571876652475,31.3686844549674,2.62670529764415e-05,0.000156587166383476,Up
ENSG00000137959,IFI44L,protein_coding,4.07050872366915,6.64134658432377,168.328441373044,1.52087194452298e-10,8.76095830623200e-09,Up
