gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000108700,CCL8,protein_coding,10.4216160654458,6.03171600422193,33.9486136300017,8.25338205392223e-05,0.000340594113409793,Up
ENSG00000131203,IDO1,protein_coding,10.3275840737058,5.94807024797318,38.5962657382222,4.57673524982844e-05,0.000205022410413965,Up
ENSG00000138755,CXCL9,protein_coding,10.2778939117261,5.84869119936376,43.7393124410483,2.53488744255373e-05,0.000122650561658446,Up
ENSG00000169245,CXCL10,protein_coding,10.2286600672441,8.06800107258938,96.8951718667541,1.16551204453561e-08,1.97952045659223e-07,Up
ENSG00000169248,CXCL11,protein_coding,9.83667819622418,6.89588685536417,77.0149818416004,2.76952220641689e-07,2.80320558460304e-06,Up
ENSG00000162654,GBP4,protein_coding,9.03224650331929,4.65685525410089,57.3018560175977,6.74148352891039e-06,3.94174173548313e-05,Up
ENSG00000134321,RSAD2,protein_coding,8.86654749080195,7.21768852565676,197.614940808772,3.94090028321029e-11,2.439449844731e-09,Up
ENSG00000168334,XIRP1,protein_coding,8.52910760046685,4.27282204470257,29.6840090527585,0.000150075049357768,0.000570300415875029,Up
ENSG00000134326,CMPK2,protein_coding,8.49469349368186,5.73678676357412,176.568950048814,9.95474670858948e-11,4.74911164632708e-09,Up
ENSG00000168062,BATF2,protein_coding,8.45465208757793,4.22699462496904,115.640524978217,1.68229919053035e-07,1.82614796189454e-06,Up
ENSG00000108688,CCL7,protein_coding,7.81570579795148,3.87071491865269,29.0884897472441,0.0001639632395777,0.000616818013278239,Up
ENSG00000119922,IFIT2,protein_coding,7.60800063345853,8.38480510591665,188.544330151535,5.80726382838047e-11,3.03575637459413e-09,Up
ENSG00000225492,GBP1P1,transcribed_unprocessed_pseudogene,7.44155837040476,3.27160575116873,53.0092122435326,9.26240564945816e-06,5.16874372551561e-05,Up
ENSG00000000938,FGR,protein_coding,7.40714373000269,4.18192056734939,6.94841876165627,0.0217933857250922,0.0428094568793446,Up
ENSG00000119917,IFIT3,protein_coding,7.32384147277083,8.56933598931517,310.864190646383,8.77946806126119e-13,1.60385892143528e-10,Up
