gene_id,PAvsVH_symbol,PAvsVH_biotype,PAvsVH_logFC,PAvsVH_PValue,PAvsVH_FDR,TiPAvsVH_logFC,TiPAvsVH_PValue,TiPAvsVH_FDR
ENSG00000130164,LDLR,protein_coding,3.16703176269551,5.50689131574567e-17,4.1246615954935e-13,3.26602507579153,2.77682611263017e-17,2.07984275836e-13
ENSG00000162772,ATF3,protein_coding,4.54753922249646,2.08461642563822e-15,7.80688851401513e-12,4.70237027828227,1.14945405967465e-15,4.30470545348156e-12
ENSG00000141458,NPC1,protein_coding,2.26504513772352,9.37074090276425e-15,2.33956164539014e-11,2.43904780592164,2.33103128494173e-15,5.81980810807119e-12
ENSG00000147872,PLIN2,protein_coding,2.86643064477051,2.38387645608105e-14,4.46380866401176e-11,3.03009928039796,9.13467323159646e-15,1.71046756261644e-11
ENSG00000099194,SCD,protein_coding,2.79353914934493,1.41733952263829e-13,2.12317460491216e-10,2.801988074069,1.34731397364981e-13,1.68189694377284e-10
ENSG00000165030,NFIL3,protein_coding,2.26569565886261,6.6375396360357e-13,8.28586197898457e-10,2.44113525187043,1.26393390172093e-13,1.68189694377284e-10
ENSG00000125347,IRF1,protein_coding,2.89754358144471,9.01273127797523e-12,5.62544643933621e-09,3.3315627249804,7.06001124645199e-13,6.60993552949067e-10
ENSG00000177426,TGIF1,protein_coding,1.52429770515053,3.2149805626698e-12,2.67557826826631e-09,1.61067656752552,1.21910970438992e-12,9.94906381943727e-10
ENSG00000105835,NAMPT,protein_coding,3.13118263193069,6.28000398339812e-12,4.27611180324108e-09,3.45343815274037,1.33973600419643e-12,9.94906381943727e-10
ENSG00000166471,TMEM41B,protein_coding,1.60731475943169,1.99788755216667e-11,1.08839645509708e-08,1.81424481376426,1.46114421914299e-12,9.94906381943727e-10
ENSG00000115963,RND3,protein_coding,3.03538493607393,2.03438589737773e-11,1.08839645509708e-08,3.44059762852689,2.63861324071124e-12,1.64693443107727e-09
