Rank,Name,Score
1,9606.ENSP00000483430,1.2439235681656244
1,9606.ENSP00000381601,1.2439235681656244
1,9606.ENSP00000386187,1.2439235681656244
1,9606.ENSP00000382707,1.2439235681656244
1,9606.ENSP00000252593,1.2439235681656244
1,9606.ENSP00000357459,1.2439235681656244
1,9606.ENSP00000262878,1.2439235681656244
1,9606.ENSP00000380073,1.2439235681656244
1,9606.ENSP00000359497,1.2439235681656244
1,9606.ENSP00000360860,1.2439235681656244
11,9606.ENSP00000395590,1.1794147725910449
12,9606.ENSP00000245414,1.1676206248651344
12,9606.ENSP00000354394,1.1676206248651344
14,9606.ENSP00000354822,1.1651147049781108
14,9606.ENSP00000342513,1.1651147049781108
16,9606.ENSP00000228928,1.1518950945639204
17,9606.ENSP00000342278,1.1098086272101626
18,9606.ENSP00000388001,1.106121555358966
19,9606.ENSP00000360891,1.060357492719145
20,9606.ENSP00000333657,0.9893866181793474
