Rank,Name,Score
1,9606.ENSP00000483430,5.180621536211338E22
1,9606.ENSP00000360883,5.180621536211338E22
1,9606.ENSP00000360891,5.180621536211338E22
1,9606.ENSP00000245414,5.180621536211338E22
1,9606.ENSP00000364016,5.180621536211338E22
1,9606.ENSP00000381601,5.180621536211338E22
1,9606.ENSP00000386187,5.180621536211338E22
1,9606.ENSP00000354394,5.180621536211338E22
1,9606.ENSP00000354822,5.180621536211338E22
1,9606.ENSP00000382707,5.180621536211338E22
1,9606.ENSP00000252593,5.180621536211338E22
1,9606.ENSP00000357459,5.180621536211338E22
1,9606.ENSP00000262878,5.180621536211338E22
1,9606.ENSP00000380073,5.180621536211338E22
1,9606.ENSP00000371471,5.180621536211338E22
1,9606.ENSP00000359497,5.180621536211338E22
1,9606.ENSP00000395590,5.180621536211338E22
1,9606.ENSP00000342513,5.180621536211338E22
1,9606.ENSP00000360869,5.180621536211338E22
1,9606.ENSP00000360860,5.180621536211338E22
