Rank,Name,Score
1,9606.ENSP00000360869,36.0
2,9606.ENSP00000381601,35.0
3,9606.ENSP00000360883,33.0
3,9606.ENSP00000371471,33.0
3,9606.ENSP00000354394,33.0
6,9606.ENSP00000360891,30.0
7,9606.ENSP00000333657,29.0
8,9606.ENSP00000257570,28.0
9,9606.ENSP00000388001,27.0
9,9606.ENSP00000354822,27.0
9,9606.ENSP00000342513,27.0
9,9606.ENSP00000342278,27.0
13,9606.ENSP00000245414,26.0
13,9606.ENSP00000377218,26.0
13,9606.ENSP00000395590,26.0
13,9606.ENSP00000228928,26.0
17,9606.ENSP00000483430,25.0
17,9606.ENSP00000364016,25.0
17,9606.ENSP00000386187,25.0
17,9606.ENSP00000382707,25.0
