ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0060337;type I interferon signaling pathway;8/8;95/18862;3.06352671664824e-19;4.86265240660706e-17;2.21629301223545e-17;MX1/STAT1/IFIT2/IFI6/XAF1/IFI35/IRF1/IFI27;8
GO:0071357;cellular response to type I interferon;8/8;96/18862;3.34202914543441e-19;4.86265240660706e-17;2.21629301223545e-17;MX1/STAT1/IFIT2/IFI6/XAF1/IFI35/IRF1/IFI27;8
GO:0034340;response to type I interferon;8/8;101/18862;5.09354241578531e-19;4.94073614331175e-17;2.25188191013666e-17;MX1/STAT1/IFIT2/IFI6/XAF1/IFI35/IRF1/IFI27;8
GO:0051607;defense response to virus;6/8;260/18862;1.77213528080353e-10;1.03138273342765e-08;4.7008220080262e-09;MX1/STAT1/IFIT2/IFI6/IRF1/IFI27;6
GO:0140546;defense response to symbiont;6/8;260/18862;1.77213528080353e-10;1.03138273342765e-08;4.7008220080262e-09;MX1/STAT1/IFIT2/IFI6/IRF1/IFI27;6
GO:0009615;response to virus;6/8;359/18862;1.23667502857785e-09;5.99787388860259e-08;2.73370269475104e-08;MX1/STAT1/IFIT2/IFI6/IRF1/IFI27;6
GO:0035456;response to interferon-beta;3/8;31/18862;2.23849250375569e-07;9.3057331227558e-06;4.24135421764236e-06;STAT1/XAF1/IRF1;3
GO:0035458;cellular response to interferon-beta;2/8;22/18862;3.62080337989694e-05;0.00131706722943751;0.000600291086667124;STAT1/IRF1;2
GO:0045088;regulation of innate immune response;3/8;315/18862;0.000242778407972516;0.00784983519111137;0.00357778706485814;STAT1/IFI35/IRF1;3
GO:0032481;positive regulation of type I interferon production;2/8;77/18862;0.000453312408892488;0.0119921737261558;0.00546577641344052;STAT1/IRF1;2
GO:0034121;regulation of toll-like receptor signaling pathway;2/8;77/18862;0.000453312408892488;0.0119921737261558;0.00546577641344052;IFI35/IRF1;2
GO:0002831;regulation of response to biotic stimulus;3/8;420/18862;0.000564807283605134;0.0131477397870063;0.00599245872006797;STAT1/IFI35/IRF1;3
GO:0048525;negative regulation of viral process;2/8;89/18862;0.000605144894089465;0.0131477397870063;0.00599245872006797;MX1/STAT1;2
GO:0060333;interferon-gamma-mediated signaling pathway;2/8;91/18862;0.000632537309340508;0.0131477397870063;0.00599245872006797;STAT1/IRF1;2
GO:0062207;regulation of pattern recognition receptor signaling pathway;2/8;105/18862;0.000840879188223088;0.0163130562515279;0.0074351422958673;IFI35/IRF1;2
GO:0008637;apoptotic mitochondrial changes;2/8;118/18862;0.0010601799328007;0.0192820225278127;0.00878833365347946;IFIT2/IFI6;2
GO:0032479;regulation of type I interferon production;2/8;128/18862;0.00124566929783185;0.0193747392886511;0.0088305919709533;STAT1/IRF1;2
GO:0019079;viral genome replication;2/8;129/18862;0.00126501734187069;0.0193747392886511;0.0088305919709533;MX1/IFI27;2
GO:0032606;type I interferon production;2/8;129/18862;0.00126501734187069;0.0193747392886511;0.0088305919709533;STAT1/IRF1;2
GO:0002224;toll-like receptor signaling pathway;2/8;157/18862;0.00186524975696133;0.0271393839637874;0.0123695510198488;IFI35/IRF1;2
GO:0071346;cellular response to interferon-gamma;2/8;177/18862;0.00236239412105255;0.0327360328202997;0.0149203839224372;STAT1/IRF1;2
GO:0050792;regulation of viral process;2/8;186/18862;0.00260447440133993;0.0344500932177237;0.0157016160080781;MX1/STAT1;2
GO:0034341;response to interferon-gamma;2/8;197/18862;0.00291569387498213;0.0353527882341583;0.0161130450985854;STAT1/IRF1;2
GO:0043903;regulation of biological process involved in symbiotic interaction;2/8;197/18862;0.00291569387498213;0.0353527882341583;0.0161130450985854;MX1/STAT1;2
GO:0002221;pattern recognition receptor signaling pathway;2/8;208/18862;0.00324367528979408;0.0377563803732031;0.0172085510111181;IFI35/IRF1;2
GO:0097191;extrinsic apoptotic signaling pathway;2/8;217/18862;0.00352440535506745;0.0394462291663318;0.0179787479651214;IFI6/IFI27;2
GO:0071104;response to interleukin-9;1/8;10/18862;0.00423425428167612;0.0410646466511324;0.0187163880558607;STAT1;1
GO:0072203;cell proliferation involved in metanephros development;1/8;10/18862;0.00423425428167612;0.0410646466511324;0.0187163880558607;STAT1;1
GO:0034145;positive regulation of toll-like receptor 4 signaling pathway;1/8;11/18862;0.00465681559961295;0.0410646466511324;0.0187163880558607;IFI35;1
GO:0035457;cellular response to interferon-alpha;1/8;11/18862;0.00465681559961295;0.0410646466511324;0.0187163880558607;IFIT2;1
GO:0070106;interleukin-27-mediated signaling pathway;1/8;11/18862;0.00465681559961295;0.0410646466511324;0.0187163880558607;STAT1;1
GO:0070142;synaptic vesicle budding;1/8;11/18862;0.00465681559961295;0.0410646466511324;0.0187163880558607;MX1;1
GO:0070757;interleukin-35-mediated signaling pathway;1/8;11/18862;0.00465681559961295;0.0410646466511324;0.0187163880558607;STAT1;1
GO:0003337;mesenchymal to epithelial transition involved in metanephros morphogenesis;1/8;12/18862;0.00507922000655159;0.0434721477031327;0.0198136755673529;STAT1;1
GO:0072182;regulation of nephron tubule epithelial cell differentiation;1/8;13/18862;0.00550146755243774;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0043374;CD8-positive, alpha-beta T cell differentiation;1/8;14/18862;0.00592355828720226;0.0440983680830508;0.0200990934290628;IRF1;1
GO:0072075;metanephric mesenchyme development;1/8;15/18862;0.00634549226076486;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0072160;nephron tubule epithelial cell differentiation;1/8;15/18862;0.00634549226076486;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0072283;metanephric renal vesicle morphogenesis;1/8;15/18862;0.00634549226076486;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0090148;membrane fission;1/8;15/18862;0.00634549226076486;0.0440983680830508;0.0200990934290628;MX1;1
GO:0002281;macrophage activation involved in immune response;1/8;18/18862;0.00761035411322508;0.0440983680830508;0.0200990934290628;IFI35;1
GO:0007221;positive regulation of transcription of Notch receptor target;1/8;18/18862;0.00761035411322508;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0072077;renal vesicle morphogenesis;1/8;18/18862;0.00761035411322508;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0098884;postsynaptic neurotransmitter receptor internalization;1/8;18/18862;0.00761035411322508;0.0440983680830508;0.0200990934290628;MX1;1
GO:0140239;postsynaptic endocytosis;1/8;18/18862;0.00761035411322508;0.0440983680830508;0.0200990934290628;MX1;1
GO:2000696;regulation of epithelial cell differentiation involved in kidney development;1/8;18/18862;0.00761035411322508;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0044827;modulation by host of viral genome replication;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;IFI27;1
GO:0051900;regulation of mitochondrial depolarization;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;IFI6;1
GO:0060231;mesenchymal to epithelial transition;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0072074;kidney mesenchyme development;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0072087;renal vesicle development;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;STAT1;1
GO:0072234;metanephric nephron tubule development;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;STAT1;1
GO:2001185;regulation of CD8-positive, alpha-beta T cell activation;1/8;19/18862;0.00803166154089929;0.0440983680830508;0.0200990934290628;IRF1;1
