Method,Protein_ID,Symbol,Score
Degree,ENSP00000354394,STAT1,38
Degree,ENSP00000360869,IFIT1,36
Degree,ENSP00000371471,RSAD2,35
Degree,ENSP00000381601,MX1,35
Degree,ENSP00000360883,IFIT3,33
Degree,ENSP00000364016,PSMB8,31
Degree,ENSP00000360891,IFIT2,30
Degree,ENSP00000333657,MX2,29
Degree,ENSP00000257570,OASL,28
Degree,ENSP00000342278,OAS2,27
Degree,ENSP00000342513,IFI6,27
Degree,ENSP00000354822,XAF1,27
Degree,ENSP00000388001,OAS1,27
Degree,ENSP00000395590,IFI35,27
Degree,ENSP00000228928,OAS3,26
Degree,ENSP00000245414,IRF1,26
Degree,ENSP00000262878,SAMHD1,26
Degree,ENSP00000359497,GBP2,26
Degree,ENSP00000377218,IRF2,26
Degree,ENSP00000483430,IFI27,25
