Method,Protein_ID,Symbol,Score
MCC,ENSP00000245414,IRF1,5.18062153621134e+22
MCC,ENSP00000252593,BST2,5.18062153621134e+22
MCC,ENSP00000262878,SAMHD1,5.18062153621134e+22
MCC,ENSP00000342513,IFI6,5.18062153621134e+22
MCC,ENSP00000354394,STAT1,5.18062153621134e+22
MCC,ENSP00000354822,XAF1,5.18062153621134e+22
MCC,ENSP00000357459,ADAR,5.18062153621134e+22
MCC,ENSP00000359497,GBP2,5.18062153621134e+22
MCC,ENSP00000360860,IFIT5,5.18062153621134e+22
MCC,ENSP00000360869,IFIT1,5.18062153621134e+22
MCC,ENSP00000360883,IFIT3,5.18062153621134e+22
MCC,ENSP00000360891,IFIT2,5.18062153621134e+22
MCC,ENSP00000364016,PSMB8,5.18062153621134e+22
MCC,ENSP00000371471,RSAD2,5.18062153621134e+22
MCC,ENSP00000380073,IRF9,5.18062153621134e+22
MCC,ENSP00000381601,MX1,5.18062153621134e+22
MCC,ENSP00000382707,IFITM3,5.18062153621134e+22
MCC,ENSP00000386187,IFITM1,5.18062153621134e+22
MCC,ENSP00000395590,IFI35,5.18062153621134e+22
MCC,ENSP00000483430,IFI27,5.18062153621134e+22
