Method,Protein_ID,Symbol,Score
MNC,ENSP00000360869,IFIT1,36
MNC,ENSP00000381601,MX1,35
MNC,ENSP00000354394,STAT1,33
MNC,ENSP00000360883,IFIT3,33
MNC,ENSP00000371471,RSAD2,33
MNC,ENSP00000360891,IFIT2,30
MNC,ENSP00000333657,MX2,29
MNC,ENSP00000257570,OASL,28
MNC,ENSP00000342278,OAS2,27
MNC,ENSP00000342513,IFI6,27
MNC,ENSP00000354822,XAF1,27
MNC,ENSP00000388001,OAS1,27
MNC,ENSP00000228928,OAS3,26
MNC,ENSP00000245414,IRF1,26
MNC,ENSP00000377218,IRF2,26
MNC,ENSP00000395590,IFI35,26
MNC,ENSP00000364016,PSMB8,25
MNC,ENSP00000382707,IFITM3,25
MNC,ENSP00000386187,IFITM1,25
MNC,ENSP00000483430,IFI27,25
