ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa05160,Hepatitis C,9/17,157/8163,6.10247992126645e-12,2.19689277165592e-10,1.41320587650381e-10,6772/4600/4938/4940/10379/4599/91543/3434/4939,9
hsa05164,Influenza A,9/17,171/8163,1.32545106509585e-11,2.38581191717253e-10,1.53473281221625e-10,6772/4600/4938/4940/10379/4599/91543/4939/103,9
hsa05162,Measles,8/17,139/8163,1.23394844701407e-10,1.48073813641689e-09,9.52521608221389e-10,6772/4600/4938/4940/10379/4599/4939/103,8
hsa05171,Coronavirus disease - COVID-19,8/17,232/8163,7.35961352979026e-09,6.62365217681124e-08,4.26082888566805e-08,6772/4600/4938/4940/10379/4599/4939/103,8
hsa04621,NOD-like receptor signaling pathway,6/17,184/8163,1.21718627910405e-06,8.76374120954917e-06,5.63749434532403e-06,6772/4938/4940/10379/2634/4939,6
hsa03250,Viral life cycle - HIV-1,4/17,63/8163,7.11184451001441e-06,4.26710670600864e-05,2.7449224424617e-05,4600/25939/4599/684,4
hsa05165,Human papillomavirus infection,6/17,331/8163,3.59751553256487e-05,0.000185015084531908,0.000119015551453274,6772/4600/10379/4599/3659/8638,6
hsa05169,Epstein-Barr virus infection,5/17,202/8163,4.28819897516453e-05,0.000192968953882404,0.000124132075596868,6772/4938/4940/10379/4939,5
hsa05168,Herpes simplex virus 1 infection,6/17,495/8163,0.000335786538299514,0.00134314615319806,0.000864012145332084,6772/4938/4940/10379/684/4939,6
hsa04625,C-type lectin receptor signaling pathway,3/17,104/8163,0.00119972421943074,0.00431900718995067,0.00277830871868172,6772/10379/3659,3
hsa04917,Prolactin signaling pathway,2/17,70/8163,0.00907209688507069,0.029690498896595,0.0190991513369909,6772/3659,2
hsa04380,Osteoclast differentiation,2/17,128/8163,0.0284502753594528,0.0853508260783584,0.054904040167365,6772/10379,2
hsa04217,Necroptosis,2/17,159/8163,0.0423426173396737,0.112631192255724,0.0724528137317522,6772/10379,2
hsa04630,JAK-STAT signaling pathway,2/17,162/8163,0.0438010192105593,0.112631192255724,0.0724528137317522,6772/10379,2
hsa05167,Kaposi sarcoma-associated herpesvirus infection,2/17,194/8163,0.0604881293538003,0.145171510449121,0.093385182160253,6772/10379,2
hsa05170,Human immunodeficiency virus 1 infection,2/17,212/8163,0.0707098751068385,0.159097218990387,0.102343240286214,25939/684,2
hsa03050,Proteasome,1/17,46/8163,0.0916845935627868,0.194155609897666,0.124895421571598,5696,1
hsa04623,Cytosolic DNA-sensing pathway,1/17,63/8163,0.123519158657023,0.241000256760327,0.155029404933544,103,1
hsa05321,Inflammatory bowel disease,1/17,65/8163,0.127194579956839,0.241000256760327,0.155029404933544,6772,1
hsa05133,Pertussis,1/17,76/8163,0.1471514770244,0.243727009145591,0.156783456175526,3659,1
hsa05212,Pancreatic cancer,1/17,76/8163,0.1471514770244,0.243727009145591,0.156783456175526,6772,1
hsa05140,Leishmaniasis,1/17,77/8163,0.14894428336675,0.243727009145591,0.156783456175526,6772,1
hsa04662,B cell receptor signaling pathway,1/17,82/8163,0.157855234379895,0.247077758159835,0.158938908757789,8519,1
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/17,89/8163,0.170183130454062,0.251404707188518,0.16172232626162,6772,1
hsa04658,Th1 and Th2 cell differentiation,1/17,92/8163,0.175414346251572,0.251404707188518,0.16172232626162,6772,1
hsa04933,AGE-RAGE signaling pathway in diabetic complications,1/17,100/8163,0.189212926303522,0.251404707188518,0.16172232626162,6772,1
hsa04620,Toll-like receptor signaling pathway,1/17,104/8163,0.196030437895299,0.251404707188518,0.16172232626162,6772,1
hsa04659,Th17 cell differentiation,1/17,108/8163,0.202793969717309,0.251404707188518,0.16172232626162,6772,1
hsa04668,TNF signaling pathway,1/17,112/8163,0.209503922657098,0.251404707188518,0.16172232626162,3659,1
hsa05145,Toxoplasmosis,1/17,112/8163,0.209503922657098,0.251404707188518,0.16172232626162,6772,1
hsa04935,Growth hormone synthesis, secretion and action,1/17,120/8163,0.222764681557439,0.252458411159083,0.162400147529235,6772,1
hsa04919,Thyroid hormone signaling pathway,1/17,121/8163,0.224407476585852,0.252458411159083,0.162400147529235,6772,1
hsa05161,Hepatitis B,1/17,162/8163,0.289016774224445,0.315291026426667,0.202818788929435,6772,1
hsa05152,Tuberculosis,1/17,180/8163,0.315750817545555,0.334324395048235,0.215062476346818,6772,1
hsa04062,Chemokine signaling pathway,1/17,192/8163,0.333044757000124,0.342560321485841,0.220360440721886,6772,1
hsa05203,Viral carcinogenesis,1/17,204/8163,0.349926701181335,0.349926701181335,0.225099047543549,10379,1
