ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0006695;cholesterol biosynthetic process;9/9;72/18862;1.02399612102634e-22;1.26463520946753e-20;4.41935168021896e-21;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:1902653;secondary alcohol biosynthetic process;9/9;72/18862;1.02399612102634e-22;1.26463520946753e-20;4.41935168021896e-21;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0016126;sterol biosynthetic process;9/9;78/18862;2.19403222783534e-22;1.80641986758443e-20;6.31265412921045e-21;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0045540;regulation of cholesterol biosynthetic process;8/9;48/18862;8.54337175659173e-21;4.22042564775631e-19;1.47485575587478e-19;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0106118;regulation of sterol biosynthetic process;8/9;48/18862;8.54337175659173e-21;4.22042564775631e-19;1.47485575587478e-19;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0090181;regulation of cholesterol metabolic process;8/9;61/18862;6.66314470152753e-20;2.7429945687955e-18;9.58557658816241e-19;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0008203;cholesterol metabolic process;9/9;149/18862;9.38061943272414e-20;3.31001857126123e-18;1.15670796012538e-18;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0046165;alcohol biosynthetic process;9/9;156/18862;1.43406085204781e-19;4.42721669663968e-18;1.54712026049202e-18;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:1902652;secondary alcohol metabolic process;9/9;158/18862;1.61315588136668e-19;4.42721669663968e-18;1.54712026049202e-18;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0016125;sterol metabolic process;9/9;165/18862;2.40696340615598e-19;5.94519961320526e-18;2.07758946636621e-18;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:1902930;regulation of alcohol biosynthetic process;8/9;75/18862;3.8148203263393e-19;8.56600564187097e-18;2.99344752880213e-18;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0006694;steroid biosynthetic process;9/9;190/18862;8.82631023397743e-19;1.81674885649369e-17;6.34874946654517e-18;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0050810;regulation of steroid biosynthetic process;8/9;91/18862;1.9202381182424e-18;3.64845242466055e-17;1.2749759165658e-17;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:1901617;organic hydroxy compound biosynthetic process;9/9;251/18862;1.13396162278251e-17;2.00063229162343e-16;6.99134233595232e-17;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0019218;regulation of steroid metabolic process;8/9;122/18862;2.17241105678233e-17;3.57723687350157e-16;1.25008916951685e-16;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0008202;steroid metabolic process;9/9;329/18862;1.34080693023742e-16;2.06987069855401e-15;7.23330054470186e-16;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0006066;alcohol metabolic process;9/9;373/18862;4.20417667441054e-16;6.10842140340826e-15;2.13462840434467e-15;SREBF2/MSMO1/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;9
GO:0046890;regulation of lipid biosynthetic process;8/9;203/18862;1.39793912253672e-15;1.91828312925872e-14;6.7035677221059e-15;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0019216;regulation of lipid metabolic process;8/9;402/18862;3.51084325727408e-13;4.5640962344563e-12;1.59495372352617e-12;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0062012;regulation of small molecule metabolic process;8/9;437/18862;6.87346520761389e-13;8.48872953140316e-12;2.96644287907547e-12;SREBF2/SREBF1/FDFT1/FDPS/CYP51A1/IDI1/HMGCS1/HMGCR;8
GO:0008299;isoprenoid biosynthetic process;4/9;28/18862;4.86834004991781e-10;5.72609520156999e-09;2.00102197540481e-09;FDPS/IDI1/HMGCS1/HMGCR;4
GO:0006720;isoprenoid metabolic process;5/9;143/18862;2.87093823586692e-09;3.22328065572332e-08;1.12639681981382e-08;FDFT1/FDPS/IDI1/HMGCS1/HMGCR;5
GO:1903792;negative regulation of anion transport;4/9;217/18862;2.05223118183855e-06;2.20391783440923e-05;7.70173715838725e-06;SREBF2/SREBF1/CYP51A1/HMGCR;4
GO:0050709;negative regulation of protein secretion;3/9;69/18862;3.87410847033342e-06;3.98710330071815e-05;1.39331971301465e-05;SREBF1/CYP51A1/HMGCR;3
GO:0002792;negative regulation of peptide secretion;3/9;76/18862;5.18941896869733e-06;5.12714594107296e-05;1.79171518077129e-05;SREBF1/CYP51A1/HMGCR;3
GO:0043271;negative regulation of ion transport;4/9;319/18862;9.46105400694318e-06;8.98800130659602e-05;3.14091671485563e-05;SREBF2/SREBF1/CYP51A1/HMGCR;4
GO:1900222;negative regulation of amyloid-beta clearance;2/9;11/18862;1.11064542203318e-05;0.000101603488608221;3.5506013491899e-05;CYP51A1/HMGCR;2
GO:0016114;terpenoid biosynthetic process;2/9;15/18862;2.11822507557584e-05;0.000180321113811143;6.30144101108618e-05;FDPS/HMGCS1;2
